Voltage (V),Current (A)
7.978,1.58589e-05
7.988,1.59344e-05
7.998,1.60024e-05
8.008,1.60621e-05
8.018,1.61314e-05
8.028,1.62074e-05
8.038,1.62717e-05
8.048,1.63349e-05
8.0581,1.64099e-05
8.0681,1.64831e-05
8.0781,1.65452e-05
8.0881,1.66125e-05
8.0981,1.66901e-05
8.1081,1.67606e-05
8.1181,1.68229e-05
8.1281,1.68946e-05
8.1381,1.69728e-05
8.1481,1.70397e-05
8.1582,1.71061e-05
8.1682,1.7183e-05
8.1782,1.72587e-05
8.1882,1.73232e-05
8.1982,1.73933e-05
8.2082,1.74747e-05
8.2182,1.75403e-05
8.2282,1.76104e-05
8.2382,1.76917e-05
8.2482,1.77661e-05
8.2583,1.78346e-05
8.2683,1.79047e-05
8.2783,1.79866e-05
8.2883,1.80623e-05
8.2983,1.81287e-05
8.3083,1.82036e-05
8.3183,1.82864e-05
8.3283,1.83594e-05
8.3383,1.84278e-05
8.3483,1.85078e-05
8.3584,1.85898e-05
8.3684,1.86596e-05
8.3784,1.87326e-05
8.3884,1.88168e-05
8.3984,1.88953e-05
8.4084,1.8964e-05
8.4184,1.90418e-05
8.4284,1.91274e-05
8.4384,1.92031e-05
8.4484,1.92742e-05
8.4585,1.93577e-05
8.4685,1.94414e-05
8.4785,1.95143e-05
8.4885,1.959e-05
8.4985,1.96772e-05
8.5085,1.97585e-05
8.5185,1.98296e-05
8.5285,1.99102e-05
8.5385,1.99986e-05
8.5485,2.00766e-05
8.5586,2.01514e-05
8.5686,2.02371e-05
8.5786,2.03238e-05
8.5886,2.0399e-05
8.5986,2.04777e-05
8.6086,2.05676e-05
8.6186,2.06517e-05
8.6286,2.07251e-05
8.6386,2.08163e-05
8.6486,2.08989e-05
8.6587,2.09758e-05
8.6687,2.10616e-05
8.6787,2.11528e-05
8.6887,2.12328e-05
8.6987,2.13123e-05
8.7087,2.14026e-05
8.7187,2.14915e-05
8.7287,2.15697e-05
8.7387,2.16532e-05
8.7487,2.17471e-05
